date,status,duration_seconds,research_size_bytes,html_size_bytes,notes
2026-02-11,SUCCESS,2089,17363,50105,
2026-02-12,FAILED,2402,20598,0,exit_code=1
2026-02-12,SUCCESS,393,20598,57766,
2026-02-12,FAILED,15,19533,0,exit_code=1
2026-02-12,FAILED,616,19533,0,exit_code=1
2026-02-13,FAILED,25,0,0,exit_code=1
2026-02-13,FAILED,900,0,0,exit_code=1
2026-02-13,FAILED,377,0,0,exit_code=1
2026-02-13,SUCCESS,543,18987,52934,
2026-02-16,SUCCESS,972,18763,54403,
2026-02-17,SUCCESS,1201,23484,56670,
2026-02-18,SUCCESS,1239,17727,55117,
2026-02-19,SUCCESS,1269,19174,56470,
2026-02-20,SUCCESS,1052,15697,56031,
